INDUSTRY,SYMBOL
OIL & GAS,RELIANCE
IT,TCS
IT,INFY
CONSUMER GOODS,HINDUNILVR
FINANCIAL SERVICES,HDFC
FINANCIAL SERVICES,ICICIBANK
FINANCIAL SERVICES,BAJFINANCE
TELECOM,BHARTIARTL
IT,WIPRO
CONSUMER GOODS,ASIANPAINT
IT,HCLTECH
FINANCIAL SERVICES,AXISBANK
CONSUMER GOODS,DMART
CEMENT & CEMENT PRODUCTS,ULTRACEMCO
FINANCIAL SERVICES,BAJAJFINSV
PHARMA,SUNPHARMA
CONSUMER GOODS,NESTLEIND
SERVICES,ADANIPORTS
OIL & GAS,ONGC
SERVICES,ADANIENT
CONSUMER GOODS,TITAN
METALS,TATASTEEL
FINANCIAL SERVICES,HDFCLIFE
POWER,POWERGRID
AUTOMOBILE,TATAMOTORS
AUTOMOBILE,BAJAJ-AUTO
AUTOMOBILE,TATAMTRDVR
POWER,NTPC
PHARMA,DIVISLAB
OIL & GAS,BPCL
FINANCIAL SERVICES,SBILIFE
IT,TECHM
CONSUMER GOODS,DABUR
CEMENT & CEMENT PRODUCTS,GRASIM
METALS,COALINDIA
PHARMA,DRREDDY
CONSUMER GOODS,GODREJCP
FINANCIAL SERVICES,ICICIPRULI
AUTOMOBILE,MOTHERSUMI
INDUSTRIAL MANUFACTURING,SIEMENS
PHARMA,CIPLA
AUTOMOBILE,EICHERMOT
OIL & GAS,GAIL
FINANCIAL SERVICES,ICICIGI
SERVICES,INDIGO
TELECOM,INDUSTOWER
IT,LTI
CEMENT & CEMENT PRODUCTS,AMBUJACEM
CONSUMER GOODS,MARICO
FINANCIAL SERVICES,HDFCAMC
CONSUMER GOODS,TATACONSUM
PHARMA,AUROPHARMA
FERTILISERS & PESTICIDES,UPL
FINANCIAL SERVICES,MUTHOOTFIN
FINANCIAL SERVICES,BANDHANBNK
PHARMA,BIOCON
PHARMA,TORNTPHARM
HEALTHCARE SERVICES,APOLLOHOSP
METALS,JINDALSTEL
CONSUMER GOODS,PGHH
CONSUMER GOODS,COLPAL
FINANCIAL SERVICES,IDBI
INDUSTRIAL MANUFACTURING,SRF
INDUSTRIAL MANUFACTURING,HONAUT
FINANCIAL SERVICES,SRTRANSFIN
OIL & GAS,PETRONET
CEMENT & CEMENT PRODUCTS,ACC
INDUSTRIAL MANUFACTURING,ASTRAL
AUTOMOBILE,ASHOKLEY
FINANCIAL SERVICES,GICRE
IT,MINDTREE
PHARMA,ABBOTINDIA
CEMENT & CEMENT PRODUCTS,DALBHARAT
INDUSTRIAL MANUFACTURING,HAL
POWER,TATAPOWER
AUTOMOBILE,MRF
CONSUMER GOODS,VOLTAS
CONSUMER GOODS,UBL
FINANCIAL SERVICES,AUBANK
FINANCIAL SERVICES,MFSL
TELECOM,TATACOMM
AUTOMOBILE,TVSMOTOR
CONSUMER GOODS,KANSAINER
SERVICES,3MINDIA
CONSUMER GOODS,TRENT
SERVICES,IRCTC
FINANCIAL SERVICES,RECLTD
IT,LTTS
FINANCIAL SERVICES,IOB
POWER,NHPC
PHARMA,GLAXO
FINANCIAL SERVICES,NIACL
CHEMICALS,ATUL
INDUSTRIAL MANUFACTURING,BHEL
TELECOM,IDEA
CHEMICALS,DEEPAKNTR
PHARMA,PFIZER
PHARMA,SYNGENE
CONSUMER GOODS,DIXON
IT,TATAELXSI
FINANCIAL SERVICES,L&TFH
FINANCIAL SERVICES,NAM-INDIA
MEDIA & ENTERTAINMENT,SUNTV
POWER,JSWENERGY
CHEMICALS,VINATIORGA
PHARMA,APLLTD
INDUSTRIAL MANUFACTURING,AIAENG
CHEMICALS,TATACHEM
CHEMICALS,ALKYLAMINE
FINANCIAL SERVICES,AAVAS
PHARMA,SANOFI
CONSUMER GOODS,ABFRL
IT,PERSISTENT
METALS,HINDCOPPER
PHARMA,GLENMARK
HEALTHCARE SERVICES,FORTIS
PHARMA,AJANTPHARM
FINANCIAL SERVICES,MAHABANK
METALS,APLAPOLLO
CONSTRUCTION,GMRINFRA
CHEMICALS,NAVINFLUOR
CHEMICALS,SUMICHEM
OIL & GAS,GSPL
OIL & GAS,OIL
FINANCIAL SERVICES,CRISIL
METALS,NATIONALUM
CONSUMER GOODS,VAIBHAVGBL
INDUSTRIAL MANUFACTURING,GRINDWELL
PHARMA,SUVENPHAR
AUTOMOBILE,APOLLOTYRE
FINANCIAL SERVICES,MANAPPURAM
AUTOMOBILE,WABCOINDIA
CONSUMER GOODS,ZYDUSWELL
HEALTHCARE SERVICES,METROPOLIS
FINANCIAL SERVICES,RBLBANK
FERTILISERS & PESTICIDES,CHAMBLFERT
INDUSTRIAL MANUFACTURING,CARBORUNIV
METALS,TATASTLBSL
FINANCIAL SERVICES,DHANI
CHEMICALS,BASF
CONSTRUCTION,PRESTIGE
CONSUMER GOODS,DCMSHRIRAM
TEXTILES,ALOKINDS
FINANCIAL SERVICES,IIFL
CHEMICALS,FINEORG
CONSUMER GOODS,TTKPRESTIG
PHARMA,ERIS
TELECOM,STLTECH
PHARMA,ASTRAZEN
CEMENT & CEMENT PRODUCTS,BIRLACORPN
FINANCIAL SERVICES,CDSL
IT,FSL
METALS,RATNAMANI
CHEMICALS,FLUOROCHEM
CONSTRUCTION,NBCC
IT,CYIENT
TEXTILES,TRIDENT
SERVICES,MMTC
PHARMA,GRANULES
CONSTRUCTION,DBL
CONSUMER GOODS,BLUESTARCO
HEALTHCARE SERVICES,ASTERDM
CONSUMER GOODS,AVANTIFEED
FERTILISERS & PESTICIDES,EIDPARRY
SERVICES,REDINGTON
CEMENT & CEMENT PRODUCTS,PRSMJOHNSN
SERVICES,WESTLIFE
PHARMA,STAR
PHARMA,AARTIDRUGS
FINANCIAL SERVICES,CANFINHOME
PHARMA,WOCKPHARMA
CONSUMER GOODS,BALRAMCHIN
IT,ZENSARTECH
PHARMA,SOLARA
FERTILISERS & PESTICIDES,RALLIS
IT,SONATSOFTW
CHEMICALS,GNFC
SERVICES,RITES
CHEMICALS,RAIN
SERVICES,GESHIP
PHARMA,SPARC
SERVICES,TEAMLEASE
IT,INFIBEAM
HEALTHCARE SERVICES,THYROCARE
FERTILISERS & PESTICIDES,BHARATRAS
CONSUMER GOODS,ADVENZYMES
FINANCIAL SERVICES,UJJIVANSFB
SERVICES,SCI
CONSTRUCTION,CERA
INDUSTRIAL MANUFACTURING,COCHINSHIP
INDUSTRIAL MANUFACTURING,SUZLON
FERTILISERS & PESTICIDES,GSFC
CONSUMER GOODS,KSCL
FERTILISERS & PESTICIDES,RCF
CONSTRUCTION,ENGINERSIN
METALS,JSL
METALS,MOIL
IT,ECLERX
CONSUMER GOODS,TASTYBITE
AUTOMOBILE,MAHSCOOTER
SERVICES,MAHLOG
CONSUMER GOODS,IFBIND
METALS,MIDHANI
PHARMA,IOLCP
CHEMICALS,NOCIL
CONSUMER GOODS,VENKEYS
FERTILISERS & PESTICIDES,NFL
CONSTRUCTION,SWANENERGY
MEDIA & ENTERTAINMENT,INOXLEISUR
PHARMA,INDOCO
CHEMICALS,GUJALKALI
FINANCIAL SERVICES,ICRA
INDUSTRIAL MANUFACTURING,GREAVESCOT
INDUSTRIAL MANUFACTURING,UFLEX
FINANCIAL SERVICES,EQUITAS
POWER,PTC
AUTOMOBILE,MINDACORP
FINANCIAL SERVICES,UJJIVAN
PAPER,JKPAPER
TEXTILES,RAYMOND
INDUSTRIAL MANUFACTURING,BALMLAWRIE
SERVICES,VRLLOG
CHEMICALS,HSCL
METALS,MAHSEAMLES
INDUSTRIAL MANUFACTURING,SWARAJENG
FINANCIAL SERVICES,CARERATING
CONSTRUCTION,BOMDYEING
CONSTRUCTION,OMAXE
PHARMA,BLISSGVS
POWER,TORNTPOWER
SERVICES,BLUEDART
CONSUMER GOODS,HAVELLS
CHEMICALS,GALAXYSURF
FINANCIAL SERVICES,JMFINANCIL
TEXTILES,TCNSBRANDS
CONSTRUCTION,PHOENIXLTD
FINANCIAL SERVICES,ISEC
CONSUMER GOODS,RELAXO
OIL & GAS,MRPL
SERVICES,QUESS
FINANCIAL SERVICES,CSBBANK
PHARMA,DCAL
FERTILISERS & PESTICIDES,COROMANDEL
CONSUMER GOODS,GILLETTE
INDUSTRIAL MANUFACTURING,BDL
SERVICES,GPPL
PHARMA,JBCHEPHARM
FINANCIAL SERVICES,IBULHSGFIN
CONSUMER GOODS,SYMPHONY
TEXTILES,WELSPUNIND
CEMENT & CEMENT PRODUCTS,JKCEMENT
FINANCIAL SERVICES,INDUSINDBK
CONSTRUCTION,SWSOLAR
CONSUMER GOODS,FRETAIL
CONSUMER GOODS,KRBL
OIL & GAS,GUJGASLTD
CONSUMER GOODS,BATAINDIA
CHEMICALS,SUDARSCHEM
FINANCIAL SERVICES,PEL
INDUSTRIAL MANUFACTURING,NILKAMAL
SERVICES,ALLCARGO
FINANCIAL SERVICES,DCBBANK
FINANCIAL SERVICES,MASFIN
INDUSTRIAL MANUFACTURING,EPL
IT,JUSTDIAL
PHARMA,IPCALAB
MEDIA & ENTERTAINMENT,PVR
OIL & GAS,GULFOILLUB
FINANCIAL SERVICES,EDELWEISS
FINANCIAL SERVICES,BANKINDIA
FINANCIAL SERVICES,PFC
CONSTRUCTION,IBREALEST
CONSUMER GOODS,JUBLFOOD
CHEMICALS,LINDEINDIA
PHARMA,ALEMBICLTD
TELECOM,ITI
IT,NAUKRI
CONSUMER GOODS,ORIENTELEC
AUTOMOBILE,M&M
FINANCIAL SERVICES,TATAINVEST
INDUSTRIAL MANUFACTURING,POWERINDIA
CONSUMER GOODS,VGUARD
AUTOMOBILE,BALKRISIND
FINANCIAL SERVICES,SUNDARMFIN
PHARMA,SHILPAMED
FINANCIAL SERVICES,ABCAPITAL
CONSUMER GOODS,BAJAJCON
POWER,SJVN
IT,COFORGE
INDUSTRIAL MANUFACTURING,CUMMINSIND
IT,OFSS
CONSUMER GOODS,JYOTHYLAB
INDUSTRIAL MANUFACTURING,BEML
FINANCIAL SERVICES,IEX
AUTOMOBILE,TIINDIA
FINANCIAL SERVICES,LICHSGFIN
